Time,MagX,MagY,Mag
0,-62.554808535515924,41.91756796258404,0
1,7.044723764981001,27.03887752119263,14.603222017155836
2,7.410114001753875,27.097339959076294,15.294335520693371
3,6.883952060800937,25.913475591932176,14.87709695680393
4,6.942414498684599,26.848874598070736,14.497646520426644
5,7.117801812335578,26.571178018123348,14.996129339132773
6,2.6015784858228628,22.72727272727272,6.5301932816431885
7,0.5846243788365939,22.259573224203443,1.5044677831838154
8,0.13154048523823292,21.996492253726977,0.34262848428773807
9,-0.482315112540185,22.186495176848872,358.7546357332317
10,-0.5700087693656855,22.361882490499845,358.5398355383016
11,0.13154048523823292,22.17187956737795,0.33991823712095415
12,-0.453083893598361,22.12803273896521,358.8270006548845
13,-1.1254019292604482,22.698041508330896,357.16151631708095
14,8.213972522654203,21.49956153171587,20.909508083492756
15,15.989476761180939,17.304881613563282,42.73751551306811
16,18.474130371236484,13.987138263665589,52.8698987610995
17,20.023384975153462,13.037123648056117,56.93205425550979
18,22.054954691610646,8.900906167787191,68.02205494917327
19,22.508038585208993,6.4454837766734805,74.02021287900989
20,23.004969307220108,5.217772581116627,77.22090989970405
21,22.63957907044724,4.486992107570881,78.78968750919822
22,23.06343174510377,2.718503361590173,83.27752348816553
23,22.96112247880737,2.4846536100555348,83.82397909280714
24,22.917275650394615,0.8184741303712322,87.95459151111278
25,22.53726980415084,0.27769657994737784,89.29405659977579
26,22.771119555685473,-0.9938614440222224,92.49912828476108
27,23.004969307220108,-1.6515638702133941,94.10631144863588
28,23.0926629640456,-1.505407775504242,93.72982701520401
29,22.78573516515638,-1.1692487576732002,92.93755319837712
30,22.800350774627304,0.27769657994737784,89.30220129041571
31,20.315697164571773,13.914060216311015,55.59306516742534
32,18.985676702718507,16.384098216895637,49.206742212455104
33,6.197018415667934,18.57643963753288,18.448471546181214
34,-19.277988892136797,11.487869044139135,300.7909673712262
35,-19.921075708857053,7.439345220695696,290.4776904899143
36,-20.37415960245542,6.869336451330014,288.63201005625274
37,-20.710318620286465,5.495469161064012,284.8609272173767
38,-20.681087401344634,3.5369774919614088,279.70509948179244
39,-21.002630809704762,1.0523238819058705,272.8683710506958
40,-20.90032154340836,-0.14615609470915558,269.5993367442078
41,-20.90032154340836,-0.08769365682549513,269.7595995386423
42,-21.017246419175677,0.2046185325928036,270.5577994235458
43,-21.55802396959953,1.1692487576731914,273.10452590926434
44,-21.718795673779596,1.9438760596316804,275.11446033724513
45,-21.4264834843613,2.7331189710610886,277.2692773437104
46,-8.564747149956155,23.677287342882195,340.11350400464346
47,15.156387021338787,13.197895352236184,48.95126772273605
48,22.96112247880737,0.8477053493130615,87.88564825068975
49,22.741888336743642,-0.8477053493130722,92.13471555008053
50,5.933937445191461,-21.017246419175684,164.23368574642228
51,3.332358959368605,-21.353405437006728,171.13010803417757
52,3.0254311604793998,-21.47033031277405,171.97913636860685
53,2.046185325928093,-21.397252265419475,174.53750611623957
54,0.6869336451330028,-21.77725811166326,178.1932825342063
55,0.6577024261911788,-21.572639579070454,178.25371837971431
56,-1.3300204618532518,-21.86495176848875,183.48094880612783
57,-3.1277404267757944,-21.455714703303133,188.29396019012233
58,-4.837766734872837,-21.280327389652154,192.80766772049174
59,-5.130078924291141,-21.338789827535813,193.5179950185943
60,-4.267757965507158,-21.0318620286466,191.47063879356983
61,12.94942999123063,-14.776381175095008,138.76997032413226
